org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>,org.joda.time.field.AbstractReadableInstantFieldProperty,<init>,<>
org.joda.time.DateMidnight$Property,writeObject,<java.io.ObjectOutputStream>,org.joda.time.DateTimeField,getType,<>
org.joda.time.DateMidnight$Property,readObject,<java.io.ObjectInputStream>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight$Property,readObject,<java.io.ObjectInputStream>,org.joda.time.DateTimeFieldType,getField,<org.joda.time.Chronology>
org.joda.time.DateMidnight$Property,getMillis,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,getChronology,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight$Property,addToCopy,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addToCopy,<int>,org.joda.time.DateTimeField,add,<long;int>
org.joda.time.DateMidnight$Property,addToCopy,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,addToCopy,<long>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addToCopy,<long>,org.joda.time.DateTimeField,add,<long;long>
org.joda.time.DateMidnight$Property,addToCopy,<long>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<int>,org.joda.time.DateTimeField,addWrapField,<long;int>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,setCopy,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,setCopy,<int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight$Property,setCopy,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,setCopy,<java.lang.String;java.util.Locale>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,setCopy,<java.lang.String;java.util.Locale>,org.joda.time.DateTimeField,set,<long;java.lang.String;java.util.Locale>
org.joda.time.DateMidnight$Property,setCopy,<java.lang.String;java.util.Locale>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,setCopy,<java.lang.String>,org.joda.time.DateMidnight$Property,setCopy,<java.lang.String;java.util.Locale>
org.joda.time.DateMidnight$Property,withMaximumValue,<>,org.joda.time.field.AbstractReadableInstantFieldProperty,getMaximumValue,<>
org.joda.time.DateMidnight$Property,withMaximumValue,<>,org.joda.time.DateMidnight$Property,setCopy,<int>
org.joda.time.DateMidnight$Property,withMinimumValue,<>,org.joda.time.field.AbstractReadableInstantFieldProperty,getMinimumValue,<>
org.joda.time.DateMidnight$Property,withMinimumValue,<>,org.joda.time.DateMidnight$Property,setCopy,<int>
org.joda.time.DateMidnight$Property,roundFloorCopy,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,roundFloorCopy,<>,org.joda.time.DateTimeField,roundFloor,<long>
org.joda.time.DateMidnight$Property,roundFloorCopy,<>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,roundCeilingCopy,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,roundCeilingCopy,<>,org.joda.time.DateTimeField,roundCeiling,<long>
org.joda.time.DateMidnight$Property,roundCeilingCopy,<>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,roundHalfFloorCopy,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,roundHalfFloorCopy,<>,org.joda.time.DateTimeField,roundHalfFloor,<long>
org.joda.time.DateMidnight$Property,roundHalfFloorCopy,<>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,roundHalfCeilingCopy,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,roundHalfCeilingCopy,<>,org.joda.time.DateTimeField,roundHalfCeiling,<long>
org.joda.time.DateMidnight$Property,roundHalfCeilingCopy,<>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight$Property,roundHalfEvenCopy,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,roundHalfEvenCopy,<>,org.joda.time.DateTimeField,roundHalfEven,<long>
org.joda.time.DateMidnight$Property,roundHalfEvenCopy,<>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,now,<>,org.joda.time.DateMidnight,<init>,<>
org.joda.time.DateMidnight,now,<org.joda.time.DateTimeZone>,org.joda.time.DateMidnight,<init>,<org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,now,<org.joda.time.Chronology>,org.joda.time.DateMidnight,<init>,<org.joda.time.Chronology>
org.joda.time.DateMidnight,parse,<java.lang.String>,org.joda.time.format.ISODateTimeFormat,dateTimeParser,<>
org.joda.time.DateMidnight,parse,<java.lang.String>,org.joda.time.format.DateTimeFormatter,withOffsetParsed,<>
org.joda.time.DateMidnight,parse,<java.lang.String>,org.joda.time.DateMidnight,parse,<java.lang.String;org.joda.time.format.DateTimeFormatter>
org.joda.time.DateMidnight,parse,<java.lang.String;org.joda.time.format.DateTimeFormatter>,org.joda.time.format.DateTimeFormatter,parseDateTime,<java.lang.String>
org.joda.time.DateMidnight,parse,<java.lang.String;org.joda.time.format.DateTimeFormatter>,org.joda.time.DateTime,toDateMidnight,<>
org.joda.time.DateMidnight,<init>,<>,org.joda.time.base.BaseDateTime,<init>,<>
org.joda.time.DateMidnight,<init>,<org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,<init>,<org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,<init>,<org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,<init>,<org.joda.time.Chronology>
org.joda.time.DateMidnight,<init>,<long>,org.joda.time.base.BaseDateTime,<init>,<long>
org.joda.time.DateMidnight,<init>,<long;org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,<init>,<long;org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,<init>,<long;org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,<init>,<java.lang.Object>,org.joda.time.base.BaseDateTime,<init>,<java.lang.Object;org.joda.time.Chronology>
org.joda.time.DateMidnight,<init>,<java.lang.Object;org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,<init>,<java.lang.Object;org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,<init>,<java.lang.Object;org.joda.time.Chronology>,org.joda.time.DateTimeUtils,getChronology,<org.joda.time.Chronology>
org.joda.time.DateMidnight,<init>,<java.lang.Object;org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,<init>,<java.lang.Object;org.joda.time.Chronology>
org.joda.time.DateMidnight,<init>,<int;int;int>,org.joda.time.base.BaseDateTime,<init>,<int;int;int;int;int;int;int>
org.joda.time.DateMidnight,<init>,<int;int;int;org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,<init>,<int;int;int;int;int;int;int;org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,<init>,<int;int;int;org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,<init>,<int;int;int;int;int;int;int;org.joda.time.Chronology>
org.joda.time.DateMidnight,checkInstant,<long;org.joda.time.Chronology>,org.joda.time.Chronology,dayOfMonth,<>
org.joda.time.DateMidnight,checkInstant,<long;org.joda.time.Chronology>,org.joda.time.DateTimeField,roundFloor,<long>
org.joda.time.DateMidnight,withMillis,<long>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withMillis,<long>,org.joda.time.DateMidnight,checkInstant,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,withMillis,<long>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withMillis,<long>,org.joda.time.DateMidnight,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,withChronology,<org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withChronology,<org.joda.time.Chronology>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withChronology,<org.joda.time.Chronology>,org.joda.time.DateMidnight,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.DateTimeUtils,getZone,<org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.base.AbstractInstant,getZone,<>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.DateTimeUtils,getZone,<org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.DateTimeZone,getMillisKeepLocal,<org.joda.time.DateTimeZone;long>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.Chronology,withZone,<org.joda.time.DateTimeZone>
org.joda.time.DateMidnight,withZoneRetainFields,<org.joda.time.DateTimeZone>,org.joda.time.DateMidnight,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,withFields,<org.joda.time.ReadablePartial>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withFields,<org.joda.time.ReadablePartial>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withFields,<org.joda.time.ReadablePartial>,org.joda.time.Chronology,set,<org.joda.time.ReadablePartial;long>
org.joda.time.DateMidnight,withFields,<org.joda.time.ReadablePartial>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withField,<org.joda.time.DateTimeFieldType;int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withField,<org.joda.time.DateTimeFieldType;int>,org.joda.time.DateTimeFieldType,getField,<org.joda.time.Chronology>
org.joda.time.DateMidnight,withField,<org.joda.time.DateTimeFieldType;int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withField,<org.joda.time.DateTimeFieldType;int>,org.joda.time.DateTimeField,set,<long;int>
org.joda.time.DateMidnight,withField,<org.joda.time.DateTimeFieldType;int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withFieldAdded,<org.joda.time.DurationFieldType;int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withFieldAdded,<org.joda.time.DurationFieldType;int>,org.joda.time.DurationFieldType,getField,<org.joda.time.Chronology>
org.joda.time.DateMidnight,withFieldAdded,<org.joda.time.DurationFieldType;int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withFieldAdded,<org.joda.time.DurationFieldType;int>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,withFieldAdded,<org.joda.time.DurationFieldType;int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withDurationAdded,<long;int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withDurationAdded,<long;int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withDurationAdded,<long;int>,org.joda.time.Chronology,add,<long;long;int>
org.joda.time.DateMidnight,withDurationAdded,<long;int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,withDurationAdded,<org.joda.time.ReadableDuration;int>,org.joda.time.ReadableDuration,getMillis,<>
org.joda.time.DateMidnight,withDurationAdded,<org.joda.time.ReadableDuration;int>,org.joda.time.DateMidnight,withDurationAdded,<long;int>
org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>,org.joda.time.Chronology,add,<org.joda.time.ReadablePeriod;long;int>
org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,plus,<long>,org.joda.time.DateMidnight,withDurationAdded,<long;int>
org.joda.time.DateMidnight,plus,<org.joda.time.ReadableDuration>,org.joda.time.DateMidnight,withDurationAdded,<org.joda.time.ReadableDuration;int>
org.joda.time.DateMidnight,plus,<org.joda.time.ReadablePeriod>,org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>
org.joda.time.DateMidnight,plusYears,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,plusYears,<int>,org.joda.time.Chronology,years,<>
org.joda.time.DateMidnight,plusYears,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,plusYears,<int>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,plusYears,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,plusMonths,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,plusMonths,<int>,org.joda.time.Chronology,months,<>
org.joda.time.DateMidnight,plusMonths,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,plusMonths,<int>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,plusMonths,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,plusWeeks,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,plusWeeks,<int>,org.joda.time.Chronology,weeks,<>
org.joda.time.DateMidnight,plusWeeks,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,plusWeeks,<int>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,plusWeeks,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,plusDays,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,plusDays,<int>,org.joda.time.Chronology,days,<>
org.joda.time.DateMidnight,plusDays,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,plusDays,<int>,org.joda.time.DurationField,add,<long;int>
org.joda.time.DateMidnight,plusDays,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,minus,<long>,org.joda.time.DateMidnight,withDurationAdded,<long;int>
org.joda.time.DateMidnight,minus,<org.joda.time.ReadableDuration>,org.joda.time.DateMidnight,withDurationAdded,<org.joda.time.ReadableDuration;int>
org.joda.time.DateMidnight,minus,<org.joda.time.ReadablePeriod>,org.joda.time.DateMidnight,withPeriodAdded,<org.joda.time.ReadablePeriod;int>
org.joda.time.DateMidnight,minusYears,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,minusYears,<int>,org.joda.time.Chronology,years,<>
org.joda.time.DateMidnight,minusYears,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,minusYears,<int>,org.joda.time.DurationField,subtract,<long;int>
org.joda.time.DateMidnight,minusYears,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,minusMonths,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,minusMonths,<int>,org.joda.time.Chronology,months,<>
org.joda.time.DateMidnight,minusMonths,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,minusMonths,<int>,org.joda.time.DurationField,subtract,<long;int>
org.joda.time.DateMidnight,minusMonths,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,minusWeeks,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,minusWeeks,<int>,org.joda.time.Chronology,weeks,<>
org.joda.time.DateMidnight,minusWeeks,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,minusWeeks,<int>,org.joda.time.DurationField,subtract,<long;int>
org.joda.time.DateMidnight,minusWeeks,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,minusDays,<int>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,minusDays,<int>,org.joda.time.Chronology,days,<>
org.joda.time.DateMidnight,minusDays,<int>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,minusDays,<int>,org.joda.time.DurationField,subtract,<long;int>
org.joda.time.DateMidnight,minusDays,<int>,org.joda.time.DateMidnight,withMillis,<long>
org.joda.time.DateMidnight,property,<org.joda.time.DateTimeFieldType>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,property,<org.joda.time.DateTimeFieldType>,org.joda.time.DateTimeFieldType,getField,<org.joda.time.Chronology>
org.joda.time.DateMidnight,property,<org.joda.time.DateTimeFieldType>,org.joda.time.DateTimeField,isSupported,<>
org.joda.time.DateMidnight,property,<org.joda.time.DateTimeFieldType>,org.joda.time.DateMidnight$Property,<init>,<org.joda.time.DateMidnight;org.joda.time.DateTimeField>
org.joda.time.DateMidnight,toYearMonthDay,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,toYearMonthDay,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,toYearMonthDay,<>,org.joda.time.YearMonthDay,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,toLocalDate,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight,toLocalDate,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,toLocalDate,<>,org.joda.time.LocalDate,<init>,<long;org.joda.time.Chronology>
org.joda.time.DateMidnight,toInterval,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight,toInterval,<>,org.joda.time.base.BaseDateTime,getMillis,<>
