org.joda.time.DateMidnight$Property,<init>,<Lorg/joda/time/DateMidnight;Lorg/joda/time/DateTimeField;>,org.joda.time.field.AbstractReadableInstantFieldProperty,<init>,<>
org.joda.time.DateMidnight$Property,writeObject,<Ljava/io/ObjectOutputStream;>,org.joda.time.DateTimeField,getType,<>
org.joda.time.DateMidnight$Property,readObject,<Ljava/io/ObjectInputStream;>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight$Property,readObject,<Ljava/io/ObjectInputStream;>,org.joda.time.DateTimeFieldType,getField,<Lorg/joda/time/Chronology;>
org.joda.time.DateMidnight$Property,getMillis,<>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,getChronology,<>,org.joda.time.base.BaseDateTime,getChronology,<>
org.joda.time.DateMidnight$Property,addToCopy,<I>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addToCopy,<I>,org.joda.time.DateTimeField,add,<JI>
org.joda.time.DateMidnight$Property,addToCopy,<I>,org.joda.time.DateMidnight,withMillis,<J>
org.joda.time.DateMidnight$Property,addToCopy,<J>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addToCopy,<J>,org.joda.time.DateTimeField,add,<JJ>
org.joda.time.DateMidnight$Property,addToCopy,<J>,org.joda.time.DateMidnight,withMillis,<J>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<I>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<I>,org.joda.time.DateTimeField,addWrapField,<JI>
org.joda.time.DateMidnight$Property,addWrapFieldToCopy,<I>,org.joda.time.DateMidnight,withMillis,<J>
org.joda.time.DateMidnight$Property,setCopy,<I>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,setCopy,<I>,org.joda.time.DateTimeField,set,<JI>
org.joda.time.DateMidnight$Property,setCopy,<I>,org.joda.time.DateMidnight,withMillis,<J>
org.joda.time.DateMidnight$Property,setCopy,<Ljava/lang/String;Ljava/util/Locale;>,org.joda.time.base.BaseDateTime,getMillis,<>
org.joda.time.DateMidnight$Property,setCopy,<Ljava/lang/String;Ljava/util/Locale;>,org.joda.time.DateTimeField,set,<JLjava/lang/String;Ljava/util/Locale;>
org.joda.time.DateMidnight$Property,setCopy,<Ljava/lang/String;Ljava/util/Locale;>,org.joda.time.DateMidnight,withMillis,<J>
org.joda.time.DateMidnight$Property,setCopy,<Ljava/lang/String;>,org.joda.time.DateMidnight$Property,setCopy,<Ljava/lang/String;Ljava/util/Locale;>
org.joda.time.DateMidnight$Property,withMaximumValue,<>,org.joda.time.field.AbstractReadableInstantFieldProperty,getMaximumValue,<>
org.joda.time.DateMidnight$Property,withMaximumValue,<>,org.joda.time.DateMidnight$Property,setCopy,<I>
org.joda.time.DateMidnight$Property,withMinimumValue,<>,org.joda.time.field.AbstractReadableInstantFieldProperty,getMinimumValue,<>
org.joda.time.DateMidnight$Property,withMinimumValue,<>,org.joda.time.DateMidnight$Property,setCopy,<I>
