,bid,methodId,ep,np,ef,nf,label
6888,3,org.joda.time.MutableDateTime$addWeekyears<I>,169576313019408.0,3479011316604982.0,2584539282836.0,22891883068656.0,True
6889,3,org.joda.time.base.AbstractDuration$isShorterThan<Lorg/joda/time/ReadableDuration;>,7.0,16033.0,0.0,112.0,False
6890,3,org.joda.time.format.DateTimeFormatterBuilder$Composite$printTo<Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;>,412.0,3598.0,22.0,6.0,False
6891,3,org.joda.time.convert.CalendarConverter$getInstantMillis<Ljava/lang/Object;Lorg/joda/time/Chronology;>,5.0,4005.0,0.0,28.0,False
6892,3,org.joda.time.format.DateTimeFormat$1$removeEldestEntry<Ljava/util/Map$Entry;>,270.0,3740.0,12.0,16.0,False
6893,3,org.joda.time.chrono.AssembledChronology$Fields$copyFieldsFrom<Lorg/joda/time/Chronology;>,137370799297265.0,1635340889538315.0,1653656676130.0,10724380053894.0,False
6894,3,org.joda.time.format.DateTimeFormatterBuilder$Composite$isPrinter<>,93731015.0,763109745.0,878693.0,5104235.0,False
6895,3,org.joda.time.TimeOfDay$minus<Lorg/joda/time/ReadablePeriod;>,4.1392358455077914e+17,8.492456707111461e+18,6308606327188645.0,5.588058274177462e+16,False
6896,3,org.joda.time.format.ISOPeriodFormat$alternateWithWeeks<>,4.130599439885449e+19,9.813284732232181e+20,6.213279983992582e+17,6.519261800458109e+18,False
6897,3,org.joda.time.LocalDateTime$Property$getChronology<>,202.0,7818.0,0.0,56.0,False
6898,3,org.joda.time.DateTime$withSecondOfMinute<I>,9384865434722.0,192532628037718.0,143037212766.0,1266860497266.0,False
6899,3,org.joda.time.MutablePeriod$addHours<I>,2097407.0,42734393.0,31820.0,281220.0,False
6900,3,org.joda.time.Duration$minus<J>,854.0,187616.0,22.0,1294.0,False
6901,3,org.joda.time.field.AbstractPartialFieldProperty$getMaximumShortTextLength<Ljava/util/Locale;>,13.0,3997.0,0.0,28.0,False
6902,3,org.joda.time.base.AbstractInterval$isAfter<Lorg/joda/time/ReadableInterval;>,1.196438980582823e+16,2.4546911905837744e+17,182349768987722.0,1615190941286034.0,False
6903,3,org.joda.time.convert.ConverterManager$getPartialConverter<Ljava/lang/Object;>,3.2392486642612986e+17,6.645850884312451e+18,4936952546521037.0,4.372981080028205e+16,False
6904,3,org.joda.time.field.RemainderDateTimeField$<init><Lorg/joda/time/field/DividedDateTimeField;>,3221188466354637.0,2203652237233693.0,25333296174564.0,12545890783160.0,False
6905,3,org.joda.time.MutableDateTime$<init><Lorg/joda/time/DateTimeZone;>,21.0,28049.0,0.0,196.0,False
6906,3,org.joda.time.DateTimeZone$getDefaultNameProvider<>,7538.0,8502.0,78.0,34.0,False
6907,3,org.joda.time.chrono.BasicFixedMonthChronology$getAverageMillisPerMonth<>,1088.0,2922.0,0.0,28.0,False
